Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
HNS Container Networking - DNS (UDP-In) - 06F7B1F4-D42F-45A9-B78F-322D674DEC61 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 0F1431F4-1FDA-4A06-A872-1DD1895F7DE0 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 28E09191-824B-4985-8CB9-E0BA4FB7F06C - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 31D51C38-862B-4F82-A692-A61743587BCC - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 3A98ADE6-EF9A-49AA-AA04-4A3E7905AB07 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 3D6CFF76-B7DE-4550-BA45-0CCCC4BF4CB9 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 42CC7F0E-200C-4C8D-979D-1A830EAB398B - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 4DEC809E-334F-47A4-BBC5-137761797FB7 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 51E77C56-7DA3-4724-BEFD-59E50CE50097 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 6B4836B4-8DE8-4C56-B3C4-828C3077CDF8 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 704143F0-B5B4-430C-929F-2891494E75E4 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - 78E36C72-45D1-4C54-B0D3-35D0CF2771F8 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - B2BE7870-C0AF-44EB-A0DE-0D4DD0D0566F - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - C1E922BC-A055-4112-AF21-F85A22E48D23 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - D192AE39-1DCB-421A-ADDB-C246D0D4D574 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - D5B04343-3AEA-408C-8238-570A600090A2 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - DBEE0680-D57E-4A22-A5F6-16FB5C9CC6B4 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - DDD0D331-BB45-4853-BC99-0033372C55A0 - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - DNS (UDP-In) - EB0223A5-7C4C-44A8-B736-CD45824A2E7E - 0		All	Yes	Allow	No	Any	Any	Any	UDP	53	Any	Any	Any	Any	Any	None	Any	
